File;NSR;NEM;NOA;COMPLEX;TIPO
atsilo.util.IterableOnlyOnce.java;0;1;2;1;
atsilo.util.AtsiloConstants.java;0;0;0;1;
atsilo.application.AlgoritmoRicerca.java;0;0;0;1;
atsilo.application.AlgoritmoRicercaUtente.java;1;0;0;1;
atsilo.application.ControlRispostaQuestionario.java;0;3;0;1;
atsilo.application.AlgoritmoRicercaPersonaleAsilo.java;1;0;0;1;
atsilo.application.AlgoritmoRicercaBambino.java;1;0;0;1;
atsilo.application.ControlDatiPersonali.java;84;15;0;2;
atsilo.application.ControlGestionePersonale.java;0;0;0;1;
atsilo.application.notificheMail.NotificaMailComposizioneClasse.java;3;2;1;1;
atsilo.application.notificheMail.NotificaMail.java;0;2;3;1;
atsilo.application.notificheMail.ControlNotificaMail.java;14;2;0;1;
atsilo.application.notificheMail.NotificaMailRegistrazione.java;2;2;2;1;
atsilo.application.notificheMail.Messaggio.java;0;0;0;1;
atsilo.application.notificheMail.Testnotifichemail.java;6;0;0;1;
atsilo.application.notificheMail.NotificaMailEvento.java;8;2;1;1;
atsilo.application.notificheMail.NotificaMailLicenziamento.java;4;2;1;1;
atsilo.application.ControlEvento.java;37;5;0;1;
atsilo.application.AlgoritmoRicercaPersonaleFormazione.java;1;0;0;1;
atsilo.application.ControlDomandaQuestionario.java;0;5;0;1;
atsilo.application.ControlServizio.java;0;4;0;1;
atsilo.application.ControlClassi.java;20;11;0;2;
atsilo.application.ControlMensa.java;13;4;1;1;
atsilo.application.ControlLogin.java;16;1;0;1;
atsilo.application.ControlAttivita.java;0;5;0;1;
atsilo.application.ControlAssenza.java;0;3;0;1;
atsilo.application.ControlMenu.java;0;1;0;1;
atsilo.application.ControlTirocinante.java;0;4;0;1;
atsilo.application.ControlRegistro.java;7;3;0;1;
atsilo.application.ContestoRicerca.java;0;1;1;1;
atsilo.application.ControlIscrizione.java;93;11;0;2;
atsilo.application.ControlIscritti.java;13;0;0;1;
